finca_id,abandon_score,activity_status,median_ndvi,std_deviation,cv_percent,valid_periods
finca_00233,85.0,inactive,0.2262844754902105,0.08011069834480618,35.4,11
finca_00234,85.0,inactive,0.23356753126770055,0.05725187476908504,24.5,11
finca_00235,85.0,inactive,0.2494623791599999,0.073171520943385,29.3,11
finca_00236,85.0,inactive,0.24639940094466295,0.07287147714434868,29.6,11
finca_00237,85.0,inactive,0.23078713336438736,0.03381176765582393,14.7,12
finca_00238,85.0,inactive,0.25925541245987554,0.06513923435898163,25.1,12
finca_00239,85.0,inactive,0.2179831570614309,0.09349645710033275,42.9,13
finca_00240,85.0,inactive,0.24744028665563214,0.07255100276287947,29.3,13
finca_00241,85.0,inactive,0.29711483574401093,0.06888609579305414,23.2,13
finca_00242,85.0,inactive,0.25864307907841705,0.0959865833278179,37.1,12
finca_00243,85.0,inactive,0.22858096256298444,0.06607290820241933,28.9,12
finca_00244,85.0,inactive,0.22305845854641512,0.05101036103544616,22.9,12
finca_00245,85.0,inactive,0.23309883621838412,0.05363933217896663,23.0,12
finca_00246,85.0,inactive,0.13018775000065444,0.026410919207708605,20.3,13
finca_00247,85.0,inactive,0.1804356645164482,0.044407983681673834,24.6,12
finca_00248,85.0,inactive,0.23834697745092484,0.02436391215583414,10.2,12
finca_00249,96.7,potential,0.3186308861633802,0.06655409906276227,20.9,13
finca_00250,85.0,inactive,0.20177983073575909,0.08609522252741594,42.7,13
finca_00251,85.0,inactive,0.20867806728418456,0.08268153270540539,39.6,13
finca_00252,85.0,inactive,0.21004546323903506,0.06737665653632285,32.1,13
finca_00253,85.0,inactive,0.19284785940201407,0.07004763165788813,36.3,13
finca_00254,85.0,inactive,0.2528054867520794,0.04916233663753109,19.4,13
finca_00255,85.0,inactive,0.2230401258336677,0.11913814107748072,53.4,13
finca_00256,85.0,inactive,0.24404785416045197,0.05904215364938991,24.2,13
finca_00257,85.0,inactive,0.2994784587948721,0.07271486156161608,24.3,13
finca_00258,85.0,inactive,0.2858623575528614,0.03908125891814554,13.7,13
finca_00259,85.0,inactive,0.23144018784635667,0.14721427953203936,63.6,13
finca_00260,85.0,inactive,0.23576785053080643,0.15605787208471944,66.2,13
finca_00261,85.0,inactive,0.22027187516919844,0.09801742431930191,44.5,13
finca_00262,85.0,inactive,0.27480001980066404,0.1286793032728029,46.8,13
finca_00263,85.0,inactive,0.22500345259369298,0.06595617770695435,29.3,12
finca_00264,85.0,inactive,0.2003048171574992,0.05408588761931631,27.0,13
finca_00265,85.0,inactive,0.26850205034915514,0.04199699263999424,15.6,13
finca_00266,85.0,inactive,0.22957668213969026,0.03691798553899736,16.1,13
finca_00267,85.0,inactive,0.1858581095120113,0.07032041229748066,37.8,13
finca_00268,85.0,inactive,0.21515828936930093,0.06847143501663684,31.8,13
finca_00269,85.0,inactive,0.19182835485613675,0.060694365137477675,31.6,13
finca_00270,85.0,inactive,0.1979596216649203,0.011222455642982172,5.7,12
finca_00271,85.0,inactive,0.23227077808920682,0.05139105965545712,22.1,13
finca_00272,85.0,inactive,0.2041736746148893,0.043440512885360515,21.3,13
finca_00273,85.0,inactive,0.23730100593604853,0.022325927312617316,9.4,12
finca_00274,85.0,inactive,0.1810151798770873,0.014539244818340905,8.0,12
finca_00275,85.0,inactive,0.06793210513095792,0.01178692160086694,17.4,13
finca_00276,85.0,inactive,0.07203156022718353,0.010725800671014836,14.9,13
finca_00277,85.0,inactive,0.20726252744770435,0.0484963791131917,23.4,13
finca_00278,85.0,inactive,0.22222167579137694,0.029863049802257603,13.4,12
finca_00279,85.0,inactive,0.2560079237243931,0.04137567941248928,16.2,13
finca_00280,85.0,inactive,0.23907657112761296,0.045271018294804906,18.9,12
finca_00281,85.0,inactive,0.200516019582089,0.04461864424160712,22.3,13
finca_00282,85.0,inactive,0.24717020340423612,0.055882847523970054,22.6,12
finca_00283,114.8,potential,0.30018196592239016,0.05049520636024949,16.8,12
finca_00284,85.0,inactive,0.24584390503070336,0.10142048087635193,41.3,12
finca_00285,85.0,inactive,0.293693858316925,0.040768151190053385,13.9,13
